,IIIV
% Below High,0.17379999999999998
% Held by Institutions,0.9186
52-Wk Range,['17.80 - 30.26']
Annual Dividend $,
Annual Dividend %,
Ask,29.0
Ask Size,300.0
B/A Ratio,3.0
B/A Size,900x300
Beta,1.3
Bid,21.66
Bid Size,900.0
Closing Price,25.0
Day Change $,-0.08
Day Change %,-0.0032
Day High,25.69
Day Low,25.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.533
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,574.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,25.08
Short Interest,0.044800000000000006
Today's Open,25.2
Volume,95660.0
Volume 10-day Avg,175593.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.07746478873239449
Growth 1yr High Est,0.0738255033557047
Growth 1yr Consensus Est,0.0756451460440496
Growth 2yr Low Est,0.10409187149038024
Growth 2yr High Est,0.1275377516778523
Growth 2yr Consensus Est,0.11581481158411627
Growth 5yr Low Est,0.28177566547491983
Growth 5yr High Est,0.2913329784030287
Growth 5yr Consensus Est,0.28655432193897423
Growth 5yr Actual/Est,0.24973889720725162
Growth 3yr Historic,0.1932900432900433
Price/Earnings (TTM),
Price/Sales (TTM),2.60469
Price/Book (MRQ),3.78981
Price/Cash Flow (TTM),132.8944
5yr Low,13.01
5yr High,37.85
5yr Avg Return,0.09046
EPS Growth 5yr,
Revenue Growth 5yr,0.0389589
Dividend Growth 5yr,
Short Int Current Month,1020374.0
Short Int Prev Month,1061398.0
Short Int Pct of Float,0.0448361
Days to Cover,6.87806
Float,22.75889
Shares Outstanding,33.11729
Institutions Holding Shares,187.0
FCF Growth 5yr,0.20082849401471345
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7692
Operating Profit Margin (TTM),-0.0077
Net Profit Margin (TTM),-0.073
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0857
EPS Growth (TTM),-3.5194
Revenue Growth (MRQ),0.058300000000000005
Revenue Growth (TTM),0.3946
Return On Equity (TTM),-0.0808
Return On Assets (TTM),-0.0327
Return On Investment (TTM),-0.0446
Revenue Per Employee (TTM),194174.0
Total Debt/Total Capital (MRQ),0.4826
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),1.65
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-17 00:00:00
researchTeam since,2022-03-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
