,INGN
Price/Earnings (TTM),
Price/Sales (TTM),1.44842
Price/Book (MRQ),1.50908
Price/Cash Flow (TTM),
5yr Low,19.48
5yr High,287.79
5yr Avg Return,-0.22861666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.1203438
Dividend Growth 5yr,
Short Int Current Month,827119.0
Short Int Prev Month,901344.0
Short Int Pct of Float,0.0367131
Days to Cover,3.36791
Float,22.53191
Shares Outstanding,22.921
Institutions Holding Shares,211.0
% Held by Institutions,0.9909300000000001
FCF Growth 5yr,16.960622064025745
