,INSW
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.7407407407407409
Growth 1yr High Est,0.4929292929292928
Growth 1yr Consensus Est,0.6168350168350168
Growth 2yr Low Est,0.14544635821231577
Growth 2yr High Est,0.5110113311737128
Growth 2yr Consensus Est,0.3282288446930143
Growth 5yr Low Est,0.09696423880821052
Growth 5yr High Est,0.34067422078247517
Growth 5yr Consensus Est,0.21881922979534285
Growth 5yr Actual/Est,0.8785321880820303
Growth 3yr Historic,1.6369287064411382
