,INVA
% Above Low,0.1275
% Held by Institutions,1.0953
52-Wk Range,['11.57 - 20.71']
Annual Dividend $,
Annual Dividend %,
Ask,13.52
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.6
Bid,12.9
Bid Size,200.0
Closing Price,13.04
Day Change $,0.02
Day Change %,0.0015
Day High,13.22
Day Low,13.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.35100000000000003
Last (size),957.0
Last (time),1:00p ET 11/25/22
Market Cap,910.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.09
Prev Close,13.02
Short Interest,0.1494
Today's Open,13.0
Volume,262262.0
Volume 10-day Avg,642005.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.5936599423631124
Growth 2yr High Est,-0.6308068459657701
Growth 2yr Consensus Est,-0.6122333941644412
Growth 5yr Low Est,-0.5936599423631124
Growth 5yr High Est,-0.6308068459657701
Growth 5yr Consensus Est,-0.6122333941644412
Growth 5yr Actual/Est,0.13417401219260672
Growth 3yr Historic,0.20834487294883336
Price/Earnings (TTM),4.08927
Price/Sales (TTM),2.43819
Price/Book (MRQ),1.41865
Price/Cash Flow (TTM),2.59852
5yr Low,7.58
5yr High,20.71
5yr Avg Return,0.023749999999999997
EPS Growth 5yr,0.42803759999999996
Revenue Growth 5yr,0.2401847
Dividend Growth 5yr,
Short Int Current Month,10336042.0
Short Int Prev Month,10022218.0
Short Int Pct of Float,0.149372
Days to Cover,18.69447
Float,69.19541
Shares Outstanding,69.78319
Institutions Holding Shares,302.0
FCF Growth 5yr,0.054577214091544445
"Price/Earnings (TTM, GAAP)",4.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1703
Operating Profit Margin (TTM),1.4291
Net Profit Margin (TTM),0.8955
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),57.390299999999996
EPS Growth (TTM),0.0219
Revenue Growth (MRQ),-0.3785
Revenue Growth (TTM),-0.0039000000000000003
Return On Equity (TTM),0.5604
Return On Assets (TTM),0.3018
Return On Investment (TTM),0.3412
Revenue Per Employee (TTM),74643200.0
Total Debt/Total Capital (MRQ),0.457
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),2.34
Interest Coverage (MRQ),7.96
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-11 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
