,IOSP
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.21176470588235308
Growth 1yr High Est,0.22630560928433274
Growth 1yr Consensus Est,0.2190351575833429
Growth 2yr Low Est,0.13177232057871702
Growth 2yr High Est,0.18491936615636195
Growth 2yr Consensus Est,0.15834584336753948
Growth 5yr Low Est,0.06588616028935851
Growth 5yr High Est,0.09245968307818098
Growth 5yr Consensus Est,0.07917292168376974
Growth 5yr Actual/Est,0.12466933711639783
Growth 3yr Historic,0.026885366840389335
