,IPAR
Price/Earnings (TTM),28.42788
Price/Sales (TTM),2.96145
Price/Book (MRQ),5.08394
Price/Cash Flow (TTM),20.48791
5yr Low,34.2
5yr High,108.35
5yr Avg Return,0.17573333333333335
EPS Growth 5yr,0.2076034
Revenue Growth 5yr,0.11037380000000001
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,313622.0
Short Int Prev Month,333259.0
Short Int Pct of Float,0.0174823
Days to Cover,2.75607
Float,17.9394
Shares Outstanding,31.87562
Institutions Holding Shares,291.0
% Held by Institutions,0.604556
FCF Growth 5yr,0.3180295694535333
