,IRDM
% Below High,0.0226
% Held by Institutions,0.8431000000000001
52-Wk Range,['31.73 - 53.61']
Annual Dividend $,
Annual Dividend %,
Ask,52.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,52.17
Bid Size,100.0
Closing Price,52.4
Day Change $,0.63
Day Change %,0.012199999999999999
Day High,52.57
Day Low,51.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.03
Ex-dividend Date,No dividend
Historical Volatility,0.4
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1811.27
Prev Close,51.77
Shares Outstanding,125.6M
Short Interest,0.044000000000000004
Today's Open,52.07
Volume,256635.0
Volume 10-day Avg,481904.0
Volume Past Day,(Light)
