,IRTC
Price/Earnings (TTM),
Price/Sales (TTM),8.35894
Price/Book (MRQ),13.27434
Price/Cash Flow (TTM),
5yr Low,41.66
5yr High,286.19
5yr Avg Return,0.3428
EPS Growth 5yr,
Revenue Growth 5yr,0.38184640000000003
Dividend Growth 5yr,
Short Int Current Month,1335960.0
Short Int Prev Month,1352629.0
Short Int Pct of Float,0.0450546
Days to Cover,1.95618
Float,29.64902
Shares Outstanding,30.11088
Institutions Holding Shares,311.0
% Held by Institutions,0.9901260000000001
FCF Growth 5yr,-0.008229012234889624
