,ISEE
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3909090909090909
Growth 1yr High Est,0.32692307692307687
Growth 1yr Consensus Est,0.3589160839160839
Growth 2yr Low Est,0.27715389185977424
Growth 2yr High Est,0.11273690078037907
Growth 2yr Consensus Est,0.19494539632007665
Growth 5yr Low Est,0.08500551735845857
Growth 5yr High Est,0.011092859839008429
Growth 5yr Consensus Est,0.0480491885987335
Growth 5yr Actual/Est,0.03249524440597901
Growth 3yr Historic,-0.049349993689259075
