,ITW
% Below High,0.0834
% Held by Institutions,0.7837999999999999
52-Wk Range,['173.52 - 249.81']
Annual Dividend $,5.24
Annual Dividend %,0.0229
Ask,229.71
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,187.84
Bid Size,100.0
Closing Price,228.97
Day Change $,0.29
Day Change %,0.0013
Day High,229.92
Day Low,228.08
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",8.76
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.262
Last (size),120.0
Last (time),5:00p ET 11/25/22
Market Cap,70.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.14
Prev Close,228.68
Short Interest,0.020499999999999997
Today's Open,229.5
Volume,417318.0
Volume 10-day Avg,923707.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.078758949880668
Growth 1yr High Est,0.09540229885057472
Growth 1yr Consensus Est,0.08708062436562136
Growth 2yr Low Est,0.017808678480157103
Growth 2yr High Est,0.11170954396883415
Growth 2yr Consensus Est,0.06475911122449562
Growth 5yr Low Est,0.05319712985010386
Growth 5yr High Est,0.0983034523363232
Growth 5yr Consensus Est,0.07575029109321353
Growth 5yr Actual/Est,0.059132802547897184
Growth 3yr Historic,0.03579132905398291
Price/Earnings (TTM),26.13556
Price/Sales (TTM),4.49722
Price/Book (MRQ),23.34536
Price/Cash Flow (TTM),22.32195
5yr Low,115.94
5yr High,249.81
5yr Avg Return,0.07446666666666668
EPS Growth 5yr,0.0836209
Revenue Growth 5yr,0.0122837
Dividend Growth 5yr,0.1506892
Short Int Current Month,6280463.0
Short Int Prev Month,6334442.0
Short Int Pct of Float,0.020515400000000003
Days to Cover,6.02448
Float,306.1727
Shares Outstanding,307.1864
Institutions Holding Shares,1845.0
FCF Growth 5yr,0.5705578186869608
"Price/Earnings (TTM, GAAP)",26.14
"PEG Ratio (TTM, GAAP)",5.83
Gross Profit Margin (TTM),0.4047
Operating Profit Margin (TTM),0.23260000000000003
Net Profit Margin (TTM),0.1749
Annual Dividend Yield,0.0229
Dividend Change %,0.0667
"Dividend Growth Rate, 3 Years",0.1158
EPS Growth (MRQ),-0.0092
EPS Growth (TTM),0.0192
Revenue Growth (MRQ),0.0
Revenue Growth (TTM),0.0975
Return On Equity (TTM),0.8412000000000001
Return On Assets (TTM),0.17800000000000002
Return On Investment (TTM),0.2343
Revenue Per Employee (TTM),347556.0
Total Debt/Total Capital (MRQ),0.7168000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),18.9
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2011-04-27 00:00:00
researchTeam since,2021-12-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-10-23 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
