,ITW
% Below High,0.0834
% Held by Institutions,0.7837999999999999
52-Wk Range,['173.52 - 249.81']
Annual Dividend $,5.24
Annual Dividend %,0.0229
Ask,229.71
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,187.84
Bid Size,100.0
Closing Price,228.97
Day Change $,0.29
Day Change %,0.0013
Day High,229.92
Day Low,228.08
Dividend Pay Date,2023-01-12 00:00:00
"EPS (TTM, GAAP)",8.76
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.262
Last (size),120.0
Last (time),5:00p ET 11/25/22
Market Cap,70.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.14
Prev Close,228.68
Shares Outstanding,307.2M
Short Interest,0.020499999999999997
Today's Open,229.5
Volume,417318.0
Volume 10-day Avg,923707.0
Volume Past Day,(Light)
