,IVZ
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.4385964912280702
Growth 1yr High Est,-0.43506493506493504
Growth 1yr Consensus Est,-0.4368307131465026
Growth 2yr Low Est,-0.26929824561403515
Growth 2yr High Est,-0.09971637557844454
Growth 2yr Consensus Est,-0.18450731059623984
Growth 5yr Low Est,-0.05630810898213279
Growth 5yr High Est,-0.02087268054284544
Growth 5yr Consensus Est,-0.038590394762489114
Growth 5yr Actual/Est,-0.0186928207621678
Growth 3yr Historic,0.08947475363202273
