,IVZ
% Below High,0.23370000000000002
% Held by Institutions,0.9043000000000001
52-Wk Range,['13.20 - 25.33']
Annual Dividend $,0.75
Annual Dividend %,0.038599999999999995
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,13.12
Bid Size,100.0
Closing Price,19.41
Day Change $,0.1
Day Change %,0.0052
Day High,19.49
Day Low,19.15
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",2.0
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.43200000000000005
Last (size),11300.0
Last (time),5:00p ET 11/25/22
Market Cap,8.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.72
Prev Close,19.31
Shares Outstanding,454.8M
Short Interest,0.04019999999999999
Today's Open,19.21
Volume,1433433.0
Volume 10-day Avg,5587783.0
Volume Past Day,(Light)
