,JBI
% Above Low,0.3258
% Held by Institutions,0.8793000000000001
52-Wk Range,['7.95 - 13.14']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,8.25
Bid Size,
Closing Price,10.54
Day Change $,0.13
Day Change %,0.0125
Day High,10.6
Day Low,10.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.524
Last (size),51.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",17.42
Prev Close,10.41
Short Interest,0.0275
Today's Open,10.48
Volume,130509.0
Volume 10-day Avg,587048.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.09722222222222232
Growth 2yr High Est,0.19999999999999996
Growth 2yr Consensus Est,0.14861111111111114
Growth 5yr Low Est,0.09722222222222232
Growth 5yr High Est,0.19999999999999996
Growth 5yr Consensus Est,0.14861111111111114
Growth 5yr Actual/Est,0.4993243243243243
Growth 3yr Historic,0.0
Price/Earnings (TTM),17.4212
Price/Sales (TTM),1.58508
Price/Book (MRQ),4.5796
Price/Cash Flow (TTM),12.37019
5yr Low,7.95
5yr High,15.94
5yr Avg Return,0.025750000000000002
Short Int Current Month,2226559.0
Short Int Prev Month,2783891.0
Short Int Pct of Float,0.0275203
Days to Cover,3.44464
Float,134.9308
Shares Outstanding,146.6473
Institutions Holding Shares,160.0
FCF Growth 5yr,0.191097748103652
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",17.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3425
Operating Profit Margin (TTM),0.16149999999999998
Net Profit Margin (TTM),0.0874
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.41880000000000006
EPS Growth (TTM),0.8552
Revenue Growth (MRQ),0.0599
Revenue Growth (TTM),0.46990000000000004
Return On Equity (TTM),0.3105
Return On Assets (TTM),0.0716
Return On Investment (TTM),0.0828
Revenue Per Employee (TTM),618348.0
Total Debt/Total Capital (MRQ),0.6777
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),4.91
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-17 00:00:00
researchTeam since,2022-08-17 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
