,JBLU
Price/Earnings (TTM),
Price/Sales (TTM),0.30133
Price/Book (MRQ),0.73725
Price/Cash Flow (TTM),41.68618
5yr Low,6.21
5yr High,23.08
5yr Avg Return,-0.115
EPS Growth 5yr,
Revenue Growth 5yr,-0.017197499999999998
Dividend Growth 5yr,
Short Int Current Month,15598091.0
Short Int Prev Month,15206389.0
Short Int Pct of Float,0.0484418
Days to Cover,1.46006
Float,321.9052
Shares Outstanding,323.8776
Institutions Holding Shares,442.0
% Held by Institutions,0.6724209999999999
FCF Growth 5yr,1.2568899800759576
