,JNJ
% Below High,0.0506
% Held by Institutions,0.6787000000000001
52-Wk Range,['155.72 - 186.69']
Annual Dividend $,4.52
Annual Dividend %,0.0255
Ask,177.24
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.6
Bid,177.04
Bid Size,400.0
Closing Price,177.24
Day Change $,0.23
Day Change %,0.0013
Day High,178.12
Day Low,176.86
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",7.18
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.18
Last (size),99.0
Last (time),5:00p ET 11/25/22
Market Cap,463.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.68
Prev Close,177.01
Shares Outstanding,2.6B
Short Interest,0.0048
Today's Open,177.38
Volume,3058608.0
Volume 10-day Avg,6388169.0
Volume Past Day,(Light)
