,KALV
% Above Low,0.2597
% Held by Institutions,1.0326
52-Wk Range,['4.12 - 17.35']
Annual Dividend $,
Annual Dividend %,
Ask,5.39
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,4.7
Bid Size,500.0
Closing Price,5.19
Day Change $,-0.12
Day Change %,-0.0226
Day High,5.32
Day Low,5.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.64
Ex-dividend Date,No dividend
Historical Volatility,1.067
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,127.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.31
Short Interest,0.08689999999999999
Today's Open,5.32
Volume,46529.0
Volume 10-day Avg,210616.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2960893854748603
Growth 1yr High Est,0.0990990990990992
Growth 1yr Consensus Est,0.19759424228697975
Growth 2yr Low Est,0.18468262377191302
Growth 2yr High Est,-0.04744498596957608
Growth 2yr Consensus Est,0.06861881890116847
Growth 5yr Low Est,0.24010288125674709
Growth 5yr High Est,0.16110302673118315
Growth 5yr Consensus Est,0.2006029539939651
Growth 5yr Actual/Est,0.26222836443587716
Growth 3yr Historic,0.21600987704091917
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.77488
Price/Cash Flow (TTM),
5yr Low,4.12
5yr High,45.0
5yr Avg Return,0.019316666666666673
Short Int Current Month,2078267.0
Short Int Prev Month,2276155.0
Short Int Pct of Float,0.0868982
Days to Cover,7.34074
Float,23.97848
Shares Outstanding,24.60202
Institutions Holding Shares,132.0
FCF Growth 5yr,0.06347594338612954
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.045
EPS Growth (TTM),-0.48009999999999997
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.4365
Return On Assets (TTM),-0.4044
Return On Investment (TTM),-0.4216
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-95.69
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
