,KAR
% Above Low,0.18530000000000002
% Held by Institutions,1.1614
52-Wk Range,['11.15 - 22.10']
Annual Dividend $,
Annual Dividend %,
Ask,17.3
Ask Size,1400.0
B/A Ratio,0.07142857142857142
B/A Size,100x1400
Beta,1.5
Bid,12.0
Bid Size,100.0
Closing Price,13.21
Day Change $,-0.08
Day Change %,-0.006
Day High,13.35
Day Low,13.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.5650000000000001
Last (size),55.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,13.29
Shares Outstanding,108.9M
Short Interest,0.0713
Today's Open,13.21
Volume,247981.0
Volume 10-day Avg,663861.0
Volume Past Day,(Light)
