,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,26.46,28.69,27.48,34.24,75.29,65.7,,,,,
low,23.43,17.4,18.8,16.91,31.86,35.95,,,,,
change,-0.0782,-0.1716,0.3675,0.1567,0.8790000000000001,-0.2238,,,,,
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash,,,,,,,263.0,177.0,164.0,173.0,Balance Sheet
Cash & Equivalents,,,,,,,139.0,214.0,161.0,157.0,Balance Sheet
Short Term Investments,,,,,,,407.0,300.0,420.0,445.0,Balance Sheet
Cash and Short Term Invs,,,,,,,808.0,690.0,746.0,776.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,432.0,368.0,350.0,309.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-1.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,432.0,368.0,350.0,309.0,Balance Sheet
Invent. - Finished Goods,,,,,,,48.0,44.0,40.0,45.0,Balance Sheet
Invent. - Work In Progress,,,,,,,71.0,71.0,69.0,40.0,Balance Sheet
Invent. - Raw Materials,,,,,,,103.0,118.0,127.0,119.0,Balance Sheet
LIFO Reserve,,,,,,,-24.0,-21.0,-21.0,-19.0,Balance Sheet
Total Inventory,,,,,,,197.0,212.0,215.0,185.0,Balance Sheet
Prepaid Expenses,,,,,,,26.0,51.0,75.0,62.0,Balance Sheet
Total Current Assets,,,,,,,1463.0,1322.0,1386.0,1332.0,Balance Sheet
Buildings,,,,,,,54.0,56.0,55.0,55.0,Balance Sheet
Land/Improvements,,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Machinery/Equipment,,,,,,,131.0,135.0,131.0,128.0,Balance Sheet
Construction in Progress,,,,,,,10.0,8.0,11.0,25.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,39.0,38.0,41.0,42.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,236.0,239.0,241.0,253.0,Balance Sheet
Accumulated Depreciation,,,,,,,-130.0,-134.0,-133.0,-130.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,106.0,105.0,108.0,123.0,Balance Sheet
"Goodwill, Net",,,,,,,72.0,71.0,70.0,68.0,Balance Sheet
Intangibles - Gross,,,,,,,146.0,143.0,139.0,134.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-105.0,-105.0,-103.0,-102.0,Balance Sheet
Intangibles - Net,,,,,,,41.0,38.0,35.0,32.0,Balance Sheet
Long Term Investments,,,,,,,6.0,6.0,5.0,5.0,Balance Sheet
Other Long Term Assets,,,,,,,2.0,2.0,3.0,3.0,Balance Sheet
Total Assets,,,,,,,1705.0,1559.0,1628.0,1589.0,Balance Sheet
Accounts Payable,,,,,,,149.0,100.0,99.0,67.0,Balance Sheet
Accrued Expenses,,,,,,,47.0,50.0,59.0,62.0,Balance Sheet
