,KMB
% Below High,0.0738
% Held by Institutions,0.7413
52-Wk Range,['108.74 - 145.79']
Annual Dividend $,4.64
Annual Dividend %,0.0344
Ask,136.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,132.0
Bid Size,100.0
Closing Price,135.03
Day Change $,1.03
Day Change %,0.0077
Day High,135.03
Day Low,134.0
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.223
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,45.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.63
Prev Close,134.0
Short Interest,0.02
Today's Open,134.22
Volume,540494.0
Volume 10-day Avg,1354741.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.08443708609271516
Growth 1yr High Est,-0.04761904761904756
Growth 1yr Consensus Est,-0.06602806685588136
Growth 2yr Low Est,0.0002769361579823548
Growth 2yr High Est,0.05952380952380959
Growth 2yr Consensus Est,0.029900372840895972
Growth 5yr Low Est,-0.02075012608546506
Growth 5yr High Est,0.01206872065896264
Growth 5yr Consensus Est,-0.00434070271325121
Growth 5yr Actual/Est,-0.010711506778100677
Growth 3yr Historic,-0.01954579718950053
Price/Earnings (TTM),25.6292
Price/Sales (TTM),2.2587
Price/Book (MRQ),104.2852
Price/Cash Flow (TTM),18.39046
5yr Low,97.1
5yr High,160.16
5yr Avg Return,0.03145
EPS Growth 5yr,-0.0221399
Revenue Growth 5yr,0.0123035
Dividend Growth 5yr,0.0428672
Short Int Current Month,6735454.0
Short Int Prev Month,6750017.0
Short Int Pct of Float,0.0199938
Days to Cover,4.304
Float,336.9371
Shares Outstanding,337.4921
Institutions Holding Shares,1970.0
FCF Growth 5yr,-3.4864307078625854
"Price/Earnings (TTM, GAAP)",25.63
"PEG Ratio (TTM, GAAP)",4.58
Gross Profit Margin (TTM),0.3015
Operating Profit Margin (TTM),0.1227
Net Profit Margin (TTM),0.0851
Annual Dividend Yield,0.0344
Dividend Change %,0.059000000000000004
"Dividend Growth Rate, 3 Years",0.04190000000000001
EPS Growth (MRQ),0.0687
EPS Growth (TTM),-0.1033
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.044800000000000006
Return On Equity (TTM),3.9166000000000003
Return On Assets (TTM),0.09640000000000001
Return On Investment (TTM),0.16519999999999999
Revenue Per Employee (TTM),448356.0
Total Debt/Total Capital (MRQ),0.9381999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),9.49
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-26 00:00:00
theStreet since,2020-07-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-02-04 00:00:00
marketEdge opinion since,
