,KMB
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.08443708609271516
Growth 1yr High Est,-0.04761904761904756
Growth 1yr Consensus Est,-0.06602806685588136
Growth 2yr Low Est,0.0002769361579823548
Growth 2yr High Est,0.05952380952380959
Growth 2yr Consensus Est,0.029900372840895972
Growth 5yr Low Est,-0.02075012608546506
Growth 5yr High Est,0.01206872065896264
Growth 5yr Consensus Est,-0.00434070271325121
Growth 5yr Actual/Est,-0.010711506778100677
Growth 3yr Historic,-0.01954579718950053
