,KPTI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1.61,45.03,Valuation,0.035753941816566735
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9836,0.5874,Profitability,1.6744977868573374
Operating Profit Margin (TTM),-0.2457,-4.7459,Profitability,0.051771002338860915
Net Profit Margin (TTM),-0.35259999999999997,-4.5467,Profitability,0.07755075109420018
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.26480000000000004,-0.0014000000000000002,Gowth rates,-189.14285714285714
EPS Growth (TTM),0.6046,0.027200000000000002,Gowth rates,22.227941176470587
Revenue Growth (MRQ),-0.0891,1.3963999999999999,Gowth rates,-0.06380693211114294
Revenue Growth (TTM),1.105,0.9747,Gowth rates,1.1336821586129064
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.3629,0.0016,Effectiveness,-226.8125
Return On Investment (TTM),-0.4966,0.0219,Effectiveness,-22.67579908675799
Revenue Per Employee (TTM),565075.0,1476201.0,Effectiveness,0.38279001301313303
Total Debt/Total Capital (MRQ),1.8627000000000002,0.4675,Financial strength,3.9843850267379683
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0036,Financial strength,0.2777777777777778
Quick Ratio (MRQ),3.54,2.06,Financial strength,1.7184466019417475
Interest Coverage (MRQ),-5.65,2.69,Financial strength,-2.100371747211896
