,LASR
% Above Low,0.28350000000000003
% Held by Institutions,0.8648
52-Wk Range,['8.22 - 26.69']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.3
Bid,
Bid Size,
Closing Price,10.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.92
Ex-dividend Date,No dividend
Historical Volatility,0.643
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,478.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.55
Shares Outstanding,45.3M
Short Interest,0.030299999999999997
Today's Open,
Volume,37231.0
Volume 10-day Avg,172906.0
Volume Past Day,(Light)
