,LEG
% Above Low,0.1813
% Held by Institutions,0.7236
52-Wk Range,['30.28 - 43.89']
Annual Dividend $,1.76
Annual Dividend %,0.0492
Ask,36.79
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,33.29
Bid Size,200.0
Closing Price,35.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.334
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.48
Prev Close,35.77
Short Interest,0.0584
Today's Open,
Volume,208544.0
Volume 10-day Avg,689694.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.13919413919413914
Growth 1yr High Est,-0.13454545454545463
Growth 1yr Consensus Est,-0.1368697968697969
Growth 2yr Low Est,-0.16321409087366534
Growth 2yr High Est,-0.04206264323911385
Growth 2yr Consensus Est,-0.1026383670563896
Growth 5yr Low Est,-0.04690856262523291
Growth 5yr High Est,0.00925542660778425
Growth 5yr Consensus Est,-0.01882656800872433
Growth 5yr Actual/Est,-0.019203765015275737
Growth 3yr Historic,0.033489523391973114
Price/Earnings (TTM),13.48219
Price/Sales (TTM),0.89752
Price/Book (MRQ),3.03565
Price/Cash Flow (TTM),8.72547
5yr Low,22.03
5yr High,59.16
5yr Avg Return,-0.024799999999999992
EPS Growth 5yr,0.0236255
Revenue Growth 5yr,0.062287800000000004
Dividend Growth 5yr,0.04376
Short Int Current Month,7632371.0
Short Int Prev Month,8606724.0
Short Int Pct of Float,0.058422999999999996
Days to Cover,9.71774
Float,130.7183
Shares Outstanding,132.5774
Institutions Holding Shares,526.0
FCF Growth 5yr,0.973955378345806
"Price/Earnings (TTM, GAAP)",13.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1952
Operating Profit Margin (TTM),0.1033
Net Profit Margin (TTM),0.06860000000000001
Annual Dividend Yield,0.0492
Dividend Change %,0.0375
"Dividend Growth Rate, 3 Years",0.0344
EPS Growth (MRQ),-0.24670000000000003
EPS Growth (TTM),-0.10650000000000001
Revenue Growth (MRQ),-0.0298
Revenue Growth (TTM),0.0736
Return On Equity (TTM),0.231
Return On Assets (TTM),0.0697
Return On Investment (TTM),0.0895
Revenue Per Employee (TTM),260286.0
Total Debt/Total Capital (MRQ),0.5781000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),5.73
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-10 00:00:00
cfra since,
marketEdge opinion since,
