,LEN
% Above Low,0.3812
% Held by Institutions,0.9601000000000001
52-Wk Range,['62.54 - 117.54']
Annual Dividend $,1.5
Annual Dividend %,0.0174
Ask,86.41
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,85.42
Bid Size,100.0
Change Since Close,-0.39| |(-0.45%)
Closing Price,86.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-27 00:00:00
"EPS (TTM, GAAP)",15.18
Ex-dividend,2022-10-12 00:00:00
Ex-dividend Date,10/12/22
Historical Volatility,0.441
Last (size),69.0
Last (time),5:00p ET 11/25/22
Last Trade,85.99
Market Cap,25.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.69
Prev Close,86.38
Shares Outstanding,291.2M
Short Interest,0.0379
Today's Open,
Volume,69.0
Volume 10-day Avg,2011817.0
Volume Past Day,(Light)
