,LHX
% Above Low,0.1394
% Held by Institutions,0.7929999999999999
52-Wk Range,['200.71 - 279.71']
Annual Dividend $,4.48
Annual Dividend %,0.0196
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,221.39
Bid Size,
Closing Price,228.68
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.30100000000000005
Last (size),92.0
Last (time),5:00p ET 11/25/22
Market Cap,43.6B
"P/E Ratio (TTM, GAAP)",39.78
Prev Close,228.68
Short Interest,0.0124
Today's Open,
Volume,232329.0
Volume 10-day Avg,1323010.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.005451713395638658
Growth 1yr High Est,-0.007633587786259555
Growth 1yr Consensus Est,-0.006542650590949106
Growth 2yr Low Est,-0.03130847220290939
Growth 2yr High Est,0.0484908984145625
Growth 2yr Consensus Est,0.008591213105826556
Growth 5yr Low Est,0.053900688140969516
Growth 5yr High Est,0.0937108639070989
Growth 5yr Consensus Est,0.07380577602403421
Growth 5yr Actual/Est,0.06544099032880102
Growth 3yr Historic,0.06679324028461958
Price/Earnings (TTM),39.77991
Price/Sales (TTM),2.58651
Price/Book (MRQ),2.38307
Price/Cash Flow (TTM),20.96356
5yr Low,123.24
5yr High,279.71
5yr Avg Return,0.09601666666666668
Short Int Current Month,2343144.0
Short Int Prev Month,2654581.0
Short Int Pct of Float,0.0123703
Days to Cover,1.39513
Float,189.5133
Shares Outstanding,190.4028
Institutions Holding Shares,1443.0
FCF Growth 5yr,-14.387799677893268
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",39.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2929
Operating Profit Margin (TTM),0.069
Net Profit Margin (TTM),0.067
Annual Dividend Yield,0.0196
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6459000000000001
EPS Growth (TTM),-0.23920000000000002
Revenue Growth (MRQ),0.0268
Revenue Growth (TTM),-0.0712
Return On Equity (TTM),0.059800000000000006
Return On Assets (TTM),0.033
Return On Investment (TTM),0.038900000000000004
Revenue Per Employee (TTM),358170.0
Total Debt/Total Capital (MRQ),0.2761
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),7.76
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-11-13 00:00:00
theStreet since,2022-11-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-08 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
