,LHX
% Above Low,0.1394
% Held by Institutions,0.7929999999999999
52-Wk Range,['200.71 - 279.71']
Annual Dividend $,4.48
Annual Dividend %,0.0196
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,221.39
Bid Size,
Closing Price,228.68
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",5.75
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.30100000000000005
Last (size),92.0
Last (time),5:00p ET 11/25/22
Market Cap,43.6B
"P/E Ratio (TTM, GAAP)",39.78
Prev Close,228.68
Shares Outstanding,190.4M
Short Interest,0.0124
Today's Open,
Volume,232329.0
Volume 10-day Avg,1323010.0
Volume Past Day,(Light)
