,LKQ
% Below High,0.0922
% Held by Institutions,0.9639
52-Wk Range,['42.36 - 60.43']
Annual Dividend $,1.1
Annual Dividend %,0.020099999999999996
Ask,54.94
Ask Size,100.0
Ask close,58.54
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,54.16
Bid Size,100.0
Bid close,51.43
Change Since Close,-1.64| |(-2.99%)
Closing Price,54.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.19
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35000000000000003
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,53.22
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.1
Prev Close,54.86
Short Interest,0.0159
Today's Open,
Volume,1.0
Volume 10-day Avg,1081643.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.007853403141361293
Growth 1yr High Est,0.012820512820512997
Growth 1yr Consensus Est,0.010336957980937145
Growth 2yr Low Est,0.016913714557693638
Growth 2yr High Est,0.06337228172671217
Growth 2yr Consensus Est,0.0401429981422029
Growth 5yr Low Est,0.16554492826733275
Growth 5yr High Est,0.18602218651127295
Growth 5yr Consensus Est,0.17578355738930285
Growth 5yr Actual/Est,0.1694113387754328
Growth 3yr Historic,0.15722263588979896
Price/Earnings (TTM),13.09599
Price/Sales (TTM),1.1293
Price/Book (MRQ),2.81598
Price/Cash Flow (TTM),10.17573
5yr Low,13.31
5yr High,60.43
5yr Avg Return,0.12243333333333331
EPS Growth 5yr,0.1998763
Revenue Growth 5yr,0.08802720000000001
Dividend Growth 5yr,
Short Int Current Month,4208776.0
Short Int Prev Month,4938286.0
Short Int Pct of Float,0.0158604
Days to Cover,2.17373
Float,265.8785
Shares Outstanding,267.175
Institutions Holding Shares,910.0
FCF Growth 5yr,0.1666129551007224
"Price/Earnings (TTM, GAAP)",13.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.406
Operating Profit Margin (TTM),0.1208
Net Profit Margin (TTM),0.09029999999999999
Annual Dividend Yield,0.0201
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3593
EPS Growth (TTM),0.21710000000000002
Revenue Growth (MRQ),-0.0709
Revenue Growth (TTM),0.0095
Return On Equity (TTM),0.21239999999999998
Return On Assets (TTM),0.09720000000000001
Return On Investment (TTM),0.121
Revenue Per Employee (TTM),282152.0
Total Debt/Total Capital (MRQ),0.3152
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),20.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
theStreet since,2020-10-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-10-26 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
