,LLNW
% Above Low,0.8939
% Held by Institutions,0.7165
52-Wk Range,['0.792 - 5.55']
Annual Dividend $,
Annual Dividend %,
Ask,1.49
Ask Size,8400.0
B/A Ratio,0.40476190476190477
B/A Size,3400x8400
Beta,0.8
Bid,1.42
Bid Size,3400.0
Closing Price,1.5
Day Change $,0.03
Day Change %,0.0204
Day High,1.5
Day Low,1.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.48
Ex-dividend Date,No dividend
Historical Volatility,0.831
Last (size),35.0
Last (time),1:00p ET 11/25/22
Market Cap,332.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.47
Short Interest,0.011699999999999999
Today's Open,1.46
Volume,340902.0
Volume 10-day Avg,2369944.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-9.5
Growth 1yr High Est,-3.166666666666667
Growth 1yr Consensus Est,-6.333333333333334
Growth 2yr Low Est,-4.455882352941177
Growth 2yr High Est,-1.7756410256410258
Growth 2yr Consensus Est,-3.115761689291101
Growth 5yr Low Est,-2.6029411764705883
Growth 5yr High Est,-2.637820512820513
Growth 5yr Consensus Est,-2.6203808446455508
Growth 5yr Actual/Est,3.192857142857143
Growth 3yr Historic,3.1250000000000004
Price/Earnings (TTM),
Price/Sales (TTM),1.05079
Price/Book (MRQ),1.12542
Price/Cash Flow (TTM),
5yr Low,0.792
5yr High,8.19
5yr Avg Return,-0.11821666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.0528367
Dividend Growth 5yr,
Short Int Current Month,2557569.0
Short Int Prev Month,2810425.0
Short Int Pct of Float,0.0117258
Days to Cover,1.16738
Float,218.1084
Shares Outstanding,221.5848
Institutions Holding Shares,208.0
FCF Growth 5yr,0.40375914778106753
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-05-17 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-05-17 00:00:00
marketEdge opinion since,
