,LMAT
% Above Low,0.2046
% Held by Institutions,0.8718
52-Wk Range,['38.32 - 56.38']
Annual Dividend $,0.5
Annual Dividend %,0.0108
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,46.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",0.96
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.41100000000000003
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",48.26
Prev Close,46.16
Shares Outstanding,22.0M
Short Interest,0.0281
Today's Open,
Volume,26677.0
Volume 10-day Avg,64678.0
Volume Past Day,(Light)
