,LNT
% Below High,0.1365
% Held by Institutions,0.7715000000000001
52-Wk Range,['47.19 - 65.37']
Annual Dividend $,1.71
Annual Dividend %,0.030299999999999997
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Closing Price,56.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.247
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,14.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.28
Prev Close,56.45
Shares Outstanding,251.0M
Short Interest,0.0126
Today's Open,
Volume,337532.0
Volume 10-day Avg,1373171.0
Volume Past Day,(Light)
