,LOCO
% Above Low,0.31170000000000003
% Held by Institutions,0.9197
52-Wk Range,['8.15 - 14.79']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,10.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.435
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,396.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.07
Prev Close,10.69
Shares Outstanding,37.0M
Short Interest,0.09179999999999999
Today's Open,
Volume,86456.0
Volume 10-day Avg,169222.0
Volume Past Day,(Light)
