,LSTR
% Below High,0.051
% Held by Institutions,1.0354999999999999
52-Wk Range,['137.15 - 182.00']
Annual Dividend $,1.2
Annual Dividend %,0.0069
Ask,
Ask Size,
Ask close,183.22
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Bid close,161.46
Change Since Close,-5.16| |(-2.99%)
Closing Price,172.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",12.13
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.315
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,167.56
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.24
Prev Close,172.72
Short Interest,0.0654
Today's Open,
Volume,1.0
Volume 10-day Avg,324696.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.21875
Growth 1yr High Est,0.19052419354838723
Growth 1yr Consensus Est,0.20463709677419362
Growth 2yr Low Est,-0.04874465811965811
Growth 2yr High Est,0.005931021414329052
Growth 2yr Consensus Est,-0.02140681835266453
Growth 5yr Low Est,0.13588408119658119
Growth 5yr High Est,0.17330449375801196
Growth 5yr Consensus Est,0.1545942874772966
Growth 5yr Actual/Est,0.18991658384214632
Growth 3yr Historic,0.20285090618266424
Price/Earnings (TTM),14.23534
Price/Sales (TTM),0.80485
Price/Book (MRQ),7.10628
Price/Cash Flow (TTM),12.2476
5yr Low,85.3
5yr High,188.63
5yr Avg Return,0.10446666666666667
EPS Growth 5yr,0.2513617
Revenue Growth 5yr,0.1559339
Dividend Growth 5yr,0.2202864
Short Int Current Month,2326712.0
Short Int Prev Month,2392123.0
Short Int Pct of Float,0.0653757
Days to Cover,7.04307
Float,35.58984
Shares Outstanding,35.92527
Institutions Holding Shares,525.0
FCF Growth 5yr,0.5425160361012605
"Price/Earnings (TTM, GAAP)",14.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1362
Operating Profit Margin (TTM),0.0772
Net Profit Margin (TTM),0.058499999999999996
Annual Dividend Yield,0.0069
Dividend Change %,0.16460000000000002
"Dividend Growth Rate, 3 Years",0.1345
EPS Growth (MRQ),-0.0956
EPS Growth (TTM),0.396
Revenue Growth (MRQ),-0.0804
Revenue Growth (TTM),0.3085
Return On Equity (TTM),0.5086999999999999
Return On Assets (TTM),0.2311
Return On Investment (TTM),0.4267
Revenue Per Employee (TTM),5510761.0
Total Debt/Total Capital (MRQ),0.1918
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),127.51
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2011-04-05 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
