,LULU
Price/Earnings (TTM),42.29486
Price/Sales (TTM),6.52147
Price/Book (MRQ),16.77529
Price/Cash Flow (TTM),34.00207
5yr Low,65.3
5yr High,485.83
5yr Avg Return,0.3688
EPS Growth 5yr,0.276385
Revenue Growth 5yr,0.2169195
Dividend Growth 5yr,
Short Int Current Month,2760936.0
Short Int Prev Month,2573725.0
Short Int Pct of Float,0.0236213
Days to Cover,2.0828
Float,111.6822
Shares Outstanding,127.5064
Institutions Holding Shares,1334.0
% Held by Institutions,0.8682080000000001
FCF Growth 5yr,0.1072186293014928
