,LUMN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.92,7.61,Valuation,0.3837056504599211
Price/Sales (TTM),0.33,2.74,Valuation,0.12043795620437955
Price/Book (MRQ),0.48,1.85,Valuation,0.2594594594594594
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.5612,0.5695,Profitability,0.9854258121158912
Operating Profit Margin (TTM),0.24559999999999998,0.0719,Profitability,3.4158553546592483
Net Profit Margin (TTM),0.1095,0.0529,Profitability,2.0699432892249527
Annual Dividend Yield,0.17120000000000002,0.0579,Dividend,2.956822107081175
Dividend Change %,0.0,0.010700000000000001,Dividend,0.0
"Dividend Growth Rate, 3 Years",-0.22640000000000002,0.0122,Dividend,-18.557377049180328
EPS Growth (MRQ),0.6796,0.1478,Gowth rates,4.598105548037889
EPS Growth (TTM),3.8059,2.0171,Gowth rates,1.886817708591542
Revenue Growth (MRQ),-0.0481,0.0105,Gowth rates,-4.580952380952381
Revenue Growth (TTM),-0.0721,-0.0425,Gowth rates,1.696470588235294
Return On Equity (TTM),0.17079999999999998,0.1605,Effectiveness,1.0641744548286602
Return On Assets (TTM),0.0359,0.0242,Effectiveness,1.4834710743801653
Return On Investment (TTM),0.0422,0.0487,Effectiveness,0.8665297741273101
Revenue Per Employee (TTM),514583.0,880084.0,Effectiveness,0.5846975970475545
Total Debt/Total Capital (MRQ),0.6674,0.5642,Financial strength,1.182913860333215
Change in Debt/Total Capital Quarter over Quarter,-0.001,-0.0006,Financial strength,1.6666666666666667
Quick Ratio (MRQ),1.06,0.68,Financial strength,1.5588235294117647
Interest Coverage (MRQ),1.55,6.5,Financial strength,0.23846153846153847
