,LXU
Price/Earnings (TTM),6.52224
Price/Sales (TTM),1.44641
Price/Book (MRQ),2.58403
Price/Cash Flow (TTM),4.51418
5yr Low,0.7692
5yr High,27.45
5yr Avg Return,0.47425000000000006
EPS Growth 5yr,
Revenue Growth 5yr,0.08228640000000001
Dividend Growth 5yr,
Short Int Current Month,2033250.0
Short Int Prev Month,2196884.0
Short Int Pct of Float,0.0360103
Days to Cover,0.96456
Float,56.49276
Shares Outstanding,81.99684
Institutions Holding Shares,179.0
% Held by Institutions,0.37095100000000003
FCF Growth 5yr,0.7421061639959454
