,LYB
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.3279258400927
Growth 1yr High Est,-0.32227979274611396
Growth 1yr Consensus Est,-0.32510281641940697
Growth 2yr Low Est,-0.3600836097015224
Growth 2yr High Est,-0.23109402481342395
Growth 2yr Consensus Est,-0.2955888172574732
Growth 5yr Low Est,0.019437361815905496
Growth 5yr High Est,0.10381096424698458
Growth 5yr Consensus Est,0.06162416303144504
Growth 5yr Actual/Est,0.32006655059751954
Growth 3yr Historic,0.4570048079964573
