,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,88.6,54.5,68.28,46.64,,,,,
low,37.07,14.56,36.25,10.43,,,,,
change,-0.5069,0.13670000000000002,-0.13470000000000001,-0.7433,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,457.0,215.0,239.0,144.0,Balance Sheet
Short Term Investments,,,,,1797.0,2022.0,1568.0,1640.0,Balance Sheet
Cash and Short Term Invs,,,,,2254.0,2237.0,1807.0,1783.0,Balance Sheet
Prepaid Expenses,,,,,522.0,699.0,652.0,689.0,Balance Sheet
Total Current Assets,,,,,2776.0,2936.0,2459.0,2473.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,522.0,527.0,583.0,563.0,Balance Sheet
"Goodwill, Net",,,,,181.0,180.0,262.0,262.0,Balance Sheet
Intangibles - Net,,,,,51.0,48.0,89.0,81.0,Balance Sheet
Long Term Investments,,,,,80.0,70.0,156.0,26.0,Balance Sheet
Other Long Term Assets,,,,,46.0,59.0,15.0,23.0,Balance Sheet
Total Assets,,,,,4774.0,4768.0,4758.0,4600.0,Balance Sheet
Accounts Payable,,,,,130.0,96.0,100.0,90.0,Balance Sheet
Accrued Expenses,,,,,1318.0,1073.0,992.0,1031.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,69.0,67.0,50.0,Balance Sheet
Other Payables,,,,,,28.0,39.0,37.0,Balance Sheet
Other Current Liabilities,,,,,1069.0,1312.0,1533.0,1576.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,1069.0,1340.0,1572.0,1613.0,Balance Sheet
Total Current Liabilities,,,,,2516.0,2577.0,2732.0,2785.0,Balance Sheet
Long Term Debt,,,,,655.0,787.0,808.0,815.0,Balance Sheet
Capital Lease Obligations,,,,,,14.0,18.0,16.0,Balance Sheet
Total Long Term Debt,,,,,655.0,801.0,826.0,831.0,Balance Sheet
Total Debt,,,,,655.0,870.0,893.0,881.0,Balance Sheet
"Other Liabilities, Total",,,,,261.0,232.0,232.0,219.0,Balance Sheet
Total Liabilities,,,,,3433.0,3610.0,3790.0,3835.0,Balance Sheet
