,MASS
% Above Low,0.1547
% Held by Institutions,0.8721
52-Wk Range,['9.28 - 28.45']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,10.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,0.96
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,339.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.71
Shares Outstanding,31.7M
Short Interest,0.0786
Today's Open,
Volume,163181.0
Volume 10-day Avg,573893.0
Volume Past Day,(Light)
