,MBUU
Price/Earnings (TTM),7.16863
Price/Sales (TTM),0.91696
Price/Book (MRQ),2.18797
Price/Cash Flow (TTM),5.84706
5yr Low,18.02
5yr High,93.0
5yr Avg Return,0.12505
EPS Growth 5yr,0.36592179999999996
Revenue Growth 5yr,0.3392944
Dividend Growth 5yr,
Short Int Current Month,1076784.0
Short Int Prev Month,1162294.0
Short Int Pct of Float,0.0541898
Days to Cover,6.94865
Float,19.88113
Shares Outstanding,20.34532
Institutions Holding Shares,274.0
% Held by Institutions,0.995858
FCF Growth 5yr,0.35142597033415707
