,MCHP
% Below High,0.1592
% Held by Institutions,0.9085
52-Wk Range,['54.33 - 90.00']
Annual Dividend $,1.31
Annual Dividend %,0.0173
Ask,76.7
Ask Size,100.0
Ask close,80.84
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,72.5
Bid Size,100.0
Bid close,71.09
Change Since Close,-1.67| |(-2.21%)
Closing Price,75.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.467
Last (size),300.0
Last (time),1:00p ET 11/25/22
Last Trade,74.0
Market Cap,41.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.08
Prev Close,75.67
Shares Outstanding,550.0M
Short Interest,0.0233
Today's Open,
Volume,1612.0
Volume 10-day Avg,4899780.0
Volume Past Day,(Light)
