,MCW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.12,-674.43,Valuation,-0.03428080008303308
Price/Sales (TTM),3.41,3.81,Valuation,0.89501312335958
Price/Book (MRQ),3.74,2.94,Valuation,1.272108843537415
"PEG Ratio (TTM, GAAP)",3.85,-5.1,Valuation,-0.7549019607843138
Gross Profit Margin (TTM),,0.30350000000000005,Profitability,
Operating Profit Margin (TTM),0.2298,0.047,Profitability,4.88936170212766
Net Profit Margin (TTM),0.154,0.024900000000000002,Profitability,6.184738955823293
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.32630000000000003,-8.9082,Gowth rates,0.03662917312139377
EPS Growth (TTM),,1.3234000000000001,Gowth rates,
Revenue Growth (MRQ),-0.0337,0.0315,Gowth rates,-1.0698412698412698
Revenue Growth (TTM),,0.1202,Gowth rates,
Return On Equity (TTM),0.19,0.0073,Effectiveness,26.027397260273972
Return On Assets (TTM),0.0558,-0.0022,Effectiveness,-25.363636363636363
Return On Investment (TTM),0.0593,0.005699999999999999,Effectiveness,10.403508771929825
Revenue Per Employee (TTM),126461.0,227358.0,Effectiveness,0.5562197063661715
Total Debt/Total Capital (MRQ),0.5402,0.5721,Financial strength,0.9442405173920643
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.001,Financial strength,1.5
Quick Ratio (MRQ),0.73,0.56,Financial strength,1.3035714285714284
Interest Coverage (MRQ),4.44,2.57,Financial strength,1.7276264591439692
