,MDT
Price/Earnings (TTM),24.56822
Price/Sales (TTM),3.41604
Price/Book (MRQ),2.02855
Price/Cash Flow (TTM),14.94481
5yr Low,72.13
5yr High,135.89
5yr Avg Return,0.004750000000000008
EPS Growth 5yr,0.0519245
Revenue Growth 5yr,0.012961499999999999
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,9590646.0
Short Int Prev Month,9631620.0
Short Int Pct of Float,0.0072177000000000005
Days to Cover,1.3204
Float,1328.892
Shares Outstanding,1330.149
Institutions Holding Shares,2626.0
% Held by Institutions,0.8116169999999999
FCF Growth 5yr,0.1357738147688701
