,MDT
% Above Low,0.0329
% Held by Institutions,0.8116
52-Wk Range,['76.60 - 114.44']
Annual Dividend $,2.72
Annual Dividend %,0.0344
Ask,79.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,78.7
Bid Size,100.0
Change Since Close,0.19| |(0.24%)
Closing Price,79.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",3.22
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.263
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,79.31
Market Cap,105.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.57
Prev Close,79.12
Shares Outstanding,1.3B
Short Interest,0.0072
Today's Open,
Volume,30.0
Volume 10-day Avg,8883079.0
Volume Past Day,(Light)
