,MDU
Price/Earnings (TTM),19.50006
Price/Sales (TTM),1.03644
Price/Book (MRQ),1.88712
Price/Cash Flow (TTM),9.91641
5yr Low,15.0
5yr High,35.02
5yr Avg Return,0.030266666666666667
EPS Growth 5yr,0.09454090000000001
Revenue Growth 5yr,0.0658977
Dividend Growth 5yr,0.025348600000000002
Short Int Current Month,2971608.0
Short Int Prev Month,4096700.0
Short Int Pct of Float,0.014746200000000001
Days to Cover,2.96859
Float,201.6241
Shares Outstanding,203.3507
Institutions Holding Shares,467.0
% Held by Institutions,0.7280679999999999
FCF Growth 5yr,1.4715975571225706
