,MDU
% Below High,0.0236
% Held by Institutions,0.7281
52-Wk Range,['24.92 - 32.19']
Annual Dividend $,0.89
Annual Dividend %,0.028300000000000002
Ask,31.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,31.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.253
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.5
Prev Close,31.43
Shares Outstanding,203.4M
Short Interest,0.0147
Today's Open,
Volume,209372.0
Volume 10-day Avg,718657.0
Volume Past Day,(Light)
