,MITK
% Above Low,0.2871
% Held by Institutions,0.6944
52-Wk Range,['8.32 - 17.92']
Annual Dividend $,
Annual Dividend %,
Ask,17.64
Ask Size,100.0
Ask close,13.29
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,10.02
Bid Size,100.0
Bid close,8.27
Change Since Close,0.00| |(0.00%)
Closing Price,10.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.15
Ex-dividend Date,No dividend
Historical Volatility,0.495
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,10.71
Market Cap,478.5M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",72.47
Prev Close,10.71
Short Interest,0.0683
Today's Open,
Volume,1.0
Volume 10-day Avg,251701.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.22058823529411753
Growth 1yr High Est,0.23376623376623362
Growth 1yr Consensus Est,0.22717723453017558
Growth 2yr Low Est,0.02595676824946841
Growth 2yr High Est,0.19056732740943272
Growth 2yr Consensus Est,0.10826204782945056
Growth 5yr Low Est,0.02595676824946841
Growth 5yr High Est,0.19056732740943272
Growth 5yr Consensus Est,0.10826204782945056
Growth 5yr Actual/Est,0.23919971507672416
Growth 3yr Historic,0.18239161336176263
Price/Earnings (TTM),72.46769
Price/Sales (TTM),3.42316
Price/Book (MRQ),2.68156
Price/Cash Flow (TTM),24.33644
5yr Low,5.26
5yr High,23.29
5yr Avg Return,0.12626666666666664
EPS Growth 5yr,0.25024270000000004
Revenue Growth 5yr,0.2812114
Dividend Growth 5yr,
Short Int Current Month,2953372.0
Short Int Prev Month,2760225.0
Short Int Pct of Float,0.0682822
Days to Cover,8.5244
Float,43.23512
Shares Outstanding,44.68043
Institutions Holding Shares,215.0
FCF Growth 5yr,1.1161955938315098
"Price/Earnings (TTM, GAAP)",72.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8967
Operating Profit Margin (TTM),0.1037
Net Profit Margin (TTM),0.0483
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22820000000000001
EPS Growth (TTM),-0.4168
Revenue Growth (MRQ),0.1331
Revenue Growth (TTM),0.1931
Return On Equity (TTM),0.0369
Return On Assets (TTM),0.017
Return On Investment (TTM),0.0189
Revenue Per Employee (TTM),321359.0
Total Debt/Total Capital (MRQ),0.41840000000000005
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.46
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-04 00:00:00
theStreet since,2022-05-04 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
marketEdge opinion since,
