,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,1157.3,1228.32,1216.47,1347.64,1343.56,1519.25,,,,,
low,1086.94,954.39,950.16,710.52,942.44,1064.09,,,,,
change,0.0431,-0.0893,0.1187,-0.0966,0.19690000000000002,0.0564,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,3978.0,3891.0,3699.0,3541.0,Balance Sheet
"Goodwill, Net",,,,,,,2899.0,2774.0,2770.0,2797.0,Balance Sheet
Intangibles - Net,,,,,,,1822.0,1774.0,1729.0,1686.0,Balance Sheet
Long Term Investments,,,,,,,23411.0,23044.0,21169.0,21102.0,Balance Sheet
Insurance Receivables,,,,,,,4213.0,4627.0,5252.0,5243.0,Balance Sheet
Def. Policy Acq. Costs,,,,,,,794.0,899.0,955.0,946.0,Balance Sheet
Reinsurance - Asset,,,,,,,7294.0,7191.0,7316.0,8258.0,Balance Sheet
Other Assets,,,,,,,3163.0,3468.0,3845.0,3593.0,Balance Sheet
"Other Assets, Total",,,,,,,10457.0,10659.0,11161.0,11852.0,Balance Sheet
Total Assets,,,,,,,48477.0,48985.0,47947.0,48421.0,Balance Sheet
Policy Liabilities,,,,,,,24179.0,25401.0,26103.0,27395.0,Balance Sheet
Unearned Prem. Or Rev.,,,,,,,5384.0,5924.0,6336.0,6515.0,Balance Sheet
Reinsurance - Liability,,,,,,,617.0,634.0,703.0,685.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,,4361.0,4429.0,4502.0,4131.0,Balance Sheet
Total Debt,,,,,,,4361.0,4429.0,4502.0,4131.0,Balance Sheet
Minority Interest,,,,,,,484.0,486.0,507.0,578.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,903.0,824.0,778.0,733.0,Balance Sheet
Other Liabilities,,,,,,,3832.0,3744.0,3301.0,3290.0,Balance Sheet
"Other Liabilities, Total",,,,,,,4735.0,4569.0,4079.0,4024.0,Balance Sheet
Total Liabilities,,,,,,,33760.0,34884.0,35191.0,36127.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,592.0,592.0,592.0,592.0,Balance Sheet
Common Stock,,,,,,,3441.0,3469.0,3478.0,3483.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,10447.0,10278.0,9290.0,9256.0,Balance Sheet
"Other Equity, Total",,,,,,,238.0,-239.0,-604.0,-1036.0,Balance Sheet
Total Equity,,,,,,,14717.0,14101.0,12756.0,12294.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,48477.0,48985.0,47947.0,48421.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,14.0,14.0,14.0,13.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Gross Premiums Written,,,,,,,2781.0,3398.0,3280.0,3475.0,Income Statement
Other Insurance Revenue,,,,,,,1058.0,1132.0,1420.0,1283.0,Income Statement
Reinsurance - Income,,,,,,,-974.0,-1639.0,-1447.0,-1518.0,Income Statement
Total Premiums Earned,,,,,,,2865.0,2892.0,3253.0,3240.0,Income Statement
Net Investment Income,,,,,,,88.0,66.0,94.0,107.0,Income Statement
Realized Gains (Losses),,,,,,,803.0,-358.0,-1555.0,-281.0,Income Statement
Total Revenue,,,,,,,3755.0,2600.0,1793.0,3065.0,Income Statement
"Losses, Benies & Adjusts",,,,,,,938.0,972.0,1059.0,1185.0,Income Statement
Underwriting & Commissions,,,,,,,649.0,590.0,609.0,643.0,Income Statement
"Losses,Benies& Adjmts,Total",,,,,,,1587.0,1563.0,1668.0,1829.0,Income Statement
Depreciation/Amortization,,,,,,,42.0,46.0,46.0,43.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,,952.0,1040.0,1258.0,1121.0,Income Statement
Total Operating Expense,,,,,,,2581.0,2648.0,2971.0,2993.0,Income Statement
Total Operating Income,,,,,,,1175.0,-48.0,-1179.0,72.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-48.0,-50.0,-50.0,-47.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,13.0,30.0,106.0,116.0,Income Statement
Income Before Tax,,,,,,,1140.0,-68.0,-1122.0,141.0,Income Statement
Income Tax - Total,,,,,,,265.0,-18.0,-239.0,18.0,Income Statement
Income After Tax,,,,,,,875.0,-50.0,-883.0,123.0,Income Statement
Minority Interest,,,,,,,-4.0,-3.0,-33.0,-57.0,Income Statement
Net Inc Before Extra Items,,,,,,,871.0,-53.0,-916.0,65.0,Income Statement
Total Net Income,,,,,,,871.0,-53.0,-916.0,65.0,Income Statement
Preferred Dividends,,,,,,,-18.0,0.0,-18.0,0.0,Income Statement
Misc Earnings Adjustment,,,,,,,5.0,-37.0,-7.0,-18.0,Income Statement
Total Adjust to Net Income,,,,,,,-13.0,-37.0,-25.0,-18.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,858.0,-90.0,-942.0,48.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,858.0,-90.0,-942.0,48.0,Income Statement
