,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,104.7,128.28,115.12,158.08,199.44,181.03,,,,,
low,88.1,56.37,62.72,66.87,138.7,64.77,,,,,
change,-0.094,-0.32030000000000003,0.7393000000000001,0.3425,0.1528,-0.5362,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,966.0,1011.0,1065.0,884.0,Balance Sheet
Short Term Investments,,,,,,,76.0,42.0,2.0,1.0,Balance Sheet
Cash and Short Term Invs,,,,,,,1043.0,1053.0,1067.0,885.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,446.0,483.0,485.0,741.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-3.0,-3.0,-4.0,-11.0,Balance Sheet
"Total Receivables, Net",,,,,,,447.0,480.0,481.0,730.0,Balance Sheet
Invent. - Finished Goods,,,,,,,100.0,104.0,107.0,176.0,Balance Sheet
Invent. - Work In Progress,,,,,,,83.0,86.0,92.0,130.0,Balance Sheet
Invent. - Raw Materials,,,,,,,394.0,446.0,490.0,655.0,Balance Sheet
Total Inventory,,,,,,,577.0,636.0,689.0,961.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,81.0,89.0,112.0,215.0,Balance Sheet
Total Current Assets,,,,,,,2147.0,2258.0,2349.0,2791.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,510.0,511.0,547.0,890.0,Balance Sheet
"Goodwill, Gross",,,,,,,1374.0,1372.0,1365.0,3996.0,Balance Sheet
Accum. Goodwill Amort.,,,,,,,-145.0,-145.0,-145.0,-145.0,Balance Sheet
"Goodwill, Net",,,,,,,1228.0,1227.0,1220.0,3851.0,Balance Sheet
Intangibles - Gross,,,,,,,997.0,997.0,997.0,4248.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-421.0,-436.0,-453.0,-595.0,Balance Sheet
Intangibles - Net,,,,,,,576.0,561.0,544.0,3653.0,Balance Sheet
Long Term Investments,,,,,,,6.0,,,,Balance Sheet
Other Long Term Assets,,,,,,,73.0,92.0,89.0,187.0,Balance Sheet
Total Assets,,,,,,,4540.0,4649.0,4749.0,11372.0,Balance Sheet
Accounts Payable,,,,,,,168.0,173.0,181.0,410.0,Balance Sheet
Accrued Expenses,,,,,,,150.0,91.0,102.0,119.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,3.0,2.0,3.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,9.0,9.0,9.0,92.0,Balance Sheet
Customer Advances,,,,,,,38.0,46.0,51.0,103.0,Balance Sheet
Income Taxes Payable,,,,,,,25.0,32.0,31.0,92.0,Balance Sheet
Other Current Liabilities,,,,,,,71.0,82.0,81.0,192.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,134.0,160.0,163.0,387.0,Balance Sheet
Total Current Liabilities,,,,,,,461.0,436.0,457.0,1011.0,Balance Sheet
Total Long Term Debt,,,,,,,808.0,806.0,804.0,4893.0,Balance Sheet
Total Debt,,,,,,,817.0,818.0,815.0,4988.0,Balance Sheet
Deferred Income Tax,,,,,,,99.0,103.0,101.0,893.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,49.0,48.0,46.0,131.0,Balance Sheet
