,MKTX
% Above Low,0.1812
% Held by Institutions,0.9669
52-Wk Range,['217.44 - 422.60']
Annual Dividend $,2.8
Annual Dividend %,0.0109
Ask,
Ask Size,
Ask close,257.15
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Bid close,256.19
Change Since Close,-7.68| |(-2.99%)
Closing Price,256.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",6.44
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.383
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,249.16
Market Cap,9.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.87
Prev Close,256.84
Shares Outstanding,37.6M
Short Interest,0.0245
Today's Open,
Volume,1.0
Volume 10-day Avg,309114.0
Volume Past Day,(Light)
