,MMC
Price/Earnings (TTM),25.77562
Price/Sales (TTM),4.09044
Price/Book (MRQ),8.91953
Price/Cash Flow (TTM),20.69557
5yr Low,74.3
5yr High,183.14
5yr Avg Return,0.15023333333333336
EPS Growth 5yr,0.1267178
Revenue Growth 5yr,0.0845101
Dividend Growth 5yr,0.089977
Short Int Current Month,4320272.0
Short Int Prev Month,4407845.0
Short Int Pct of Float,0.0087312
Days to Cover,2.80027
Float,495.4153
Shares Outstanding,496.0095
Institutions Holding Shares,1592.0
% Held by Institutions,0.880971
FCF Growth 5yr,0.33409273841463366
