,MORF
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27368421052631586
Growth 1yr High Est,0.01851851851851838
Growth 1yr Consensus Est,-0.12758284600389874
Growth 2yr Low Est,0.392143401983219
Growth 2yr High Est,0.3941077441077441
Growth 2yr Consensus Est,0.39312557304548157
Growth 5yr Low Est,0.5218456013221461
Growth 5yr High Est,0.42031425364758696
Growth 5yr Consensus Est,0.4710799274848665
Growth 5yr Actual/Est,0.2485251929666409
Growth 3yr Historic,0.09069873302480844
