,MOS
% Above Low,0.5412
% Held by Institutions,0.8748
52-Wk Range,['33.59 - 79.28']
Annual Dividend $,0.6
Annual Dividend %,0.0116
Ask,51.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,50.7
Bid Size,100.0
Change Since Close,-0.84| |(-1.62%)
Closing Price,51.77
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",10.23
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.5479999999999999
Last (size),7.0
Last (time),5:00p ET 11/25/22
Last Trade,50.93
Market Cap,17.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.06
Prev Close,51.77
Shares Outstanding,340.5M
Short Interest,0.0242
Today's Open,
Volume,183.0
Volume 10-day Avg,3946686.0
Volume Past Day,(Light)
