,MPC
% Below High,0.019
% Held by Institutions,0.7614
52-Wk Range,['59.55 - 127.62']
Annual Dividend $,3.0
Annual Dividend %,0.024
Ask,124.2
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.6
Bid,120.37
Bid Size,300.0
Change Since Close,-1.70| |(-1.36%)
Closing Price,125.2
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",22.78
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.36100000000000004
Last (size),35.0
Last (time),5:00p ET 11/25/22
Last Trade,123.5
Market Cap,58.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.5
Prev Close,125.2
Shares Outstanding,468.7M
Short Interest,0.0274
Today's Open,
Volume,313.0
Volume 10-day Avg,3394818.0
Volume Past Day,(Light)
