,MTN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.3,103.69,Valuation,0.3018613173883692
Price/Sales (TTM),4.24,5.63,Valuation,0.7531083481349912
Price/Book (MRQ),6.64,8.51,Valuation,0.7802585193889542
"PEG Ratio (TTM, GAAP)",0.68,0.48,Valuation,1.4166666666666667
Gross Profit Margin (TTM),0.4687,0.4058,Profitability,1.1550024642681125
Operating Profit Margin (TTM),0.2382,0.1648,Profitability,1.445388349514563
Net Profit Margin (TTM),0.1458,0.0801,Profitability,1.8202247191011236
Annual Dividend Yield,0.0288,0.011200000000000002,Dividend,2.571428571428571
Dividend Change %,,0.0563,Dividend,
"Dividend Growth Rate, 3 Years",,0.0311,Dividend,
EPS Growth (MRQ),-1.2944,0.3321,Gowth rates,-3.8976211984342064
EPS Growth (TTM),1.8031000000000001,2.1422,Gowth rates,0.8417047894687706
Revenue Growth (MRQ),-0.773,0.38689999999999997,Gowth rates,-1.997932282243474
Revenue Growth (TTM),0.32270000000000004,0.7726000000000001,Gowth rates,0.417680559150919
Return On Equity (TTM),0.217,0.1915,Effectiveness,1.1331592689295038
Return On Assets (TTM),0.058600000000000006,0.0764,Effectiveness,0.7670157068062828
Return On Investment (TTM),0.0736,0.1012,Effectiveness,0.7272727272727273
Revenue Per Employee (TTM),366074.0,286353.0,Effectiveness,1.278401134264352
Total Debt/Total Capital (MRQ),0.5968,1.1601000000000001,Financial strength,0.5144384104818549
Change in Debt/Total Capital Quarter over Quarter,-0.0005,0.002,Financial strength,-0.25
Quick Ratio (MRQ),1.51,0.8,Financial strength,1.8875
Interest Coverage (MRQ),-3.7,40.35,Financial strength,-0.09169764560099132
