,MTX
Price/Earnings (TTM),13.21892
Price/Sales (TTM),0.88743
Price/Book (MRQ),1.23773
Price/Cash Flow (TTM),7.76232
5yr Low,27.28
5yr High,88.62
5yr Avg Return,-0.0264
EPS Growth 5yr,0.0511738
Revenue Growth 5yr,0.0255584
Dividend Growth 5yr,0.0
Short Int Current Month,628498.0
Short Int Prev Month,876772.0
Short Int Pct of Float,0.0196132
Days to Cover,5.5798
Float,32.1063
Shares Outstanding,32.45026
Institutions Holding Shares,302.0
% Held by Institutions,0.985559
FCF Growth 5yr,-0.9453617052881759
