,MTX
% Above Low,0.1602
% Held by Institutions,0.9856
52-Wk Range,['49.38 - 75.65']
Annual Dividend $,0.2
Annual Dividend %,0.0034999999999999996
Ask,92.27
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,23.66
Bid Size,100.0
Closing Price,57.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",4.33
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.332
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.22
Prev Close,57.29
Shares Outstanding,32.5M
Short Interest,0.0196
Today's Open,
Volume,48685.0
Volume 10-day Avg,105352.0
Volume Past Day,(Light)
