,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,47.6,64.66,56.11,75.68,96.96,98.45,,,,,
low,39.07,28.39,30.75,31.13,65.67,48.45,,,,,
change,-0.1343,-0.23620000000000002,0.7348,0.37060000000000004,0.218,-0.378,,,,,
Date,,,,,,,2021-12-02 00:00:00,2022-03-03 00:00:00,2022-06-02 00:00:00,2022-09-01 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,8680.0,9116.0,9157.0,8262.0,Balance Sheet
Short Term Investments,,,,,,,900.0,1006.0,1070.0,1069.0,Balance Sheet
Cash and Short Term Invs,,,,,,,9580.0,10122.0,10227.0,9331.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,4924.0,5061.0,5896.0,4765.0,Balance Sheet
Other Receivables,,,,,,,326.0,323.0,333.0,365.0,Balance Sheet
"Total Receivables, Net",,,,,,,5250.0,5384.0,6229.0,5130.0,Balance Sheet
Invent. - Finished Goods,,,,,,,610.0,540.0,620.0,1028.0,Balance Sheet
Invent. - Work In Progress,,,,,,,3661.0,4222.0,4325.0,4830.0,Balance Sheet
Invent. - Raw Materials,,,,,,,556.0,621.0,684.0,805.0,Balance Sheet
Total Inventory,,,,,,,4827.0,5383.0,5629.0,6663.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,13.0,13.0,15.0,13.0,Balance Sheet
Other Current Assets,,,,,,,521.0,600.0,608.0,644.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,534.0,613.0,623.0,657.0,Balance Sheet
Total Current Assets,,,,,,,20191.0,21502.0,22708.0,21781.0,Balance Sheet
Buildings,,,,,,,15440.0,15701.0,16181.0,16676.0,Balance Sheet
Land/Improvements,,,,,,,280.0,280.0,280.0,280.0,Balance Sheet
Machinery/Equipment,,,,,,,55367.0,57693.0,59464.0,62478.0,Balance Sheet
Construction in Progress,,,,,,,1440.0,1740.0,1664.0,1897.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,574.0,587.0,690.0,678.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,73101.0,76001.0,78279.0,82009.0,Balance Sheet
Accumulated Depreciation,,,,,,,-37372.0,-39243.0,-40924.0,-42782.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,35729.0,36758.0,37355.0,39227.0,Balance Sheet
"Goodwill, Net",,,,,,,1228.0,1228.0,1228.0,1228.0,Balance Sheet
Intangibles - Gross,,,,,,,643.0,718.0,727.0,742.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-296.0,-304.0,-312.0,-321.0,Balance Sheet
Intangibles - Net,,,,,,,347.0,414.0,415.0,421.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,,,167.0,196.0,210.0,222.0,Balance Sheet
LT Investments - Other,,,,,,,1817.0,1717.0,1646.0,1647.0,Balance Sheet
Long Term Investments,,,,,,,1984.0,1913.0,1856.0,1869.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,746.0,762.0,682.0,702.0,Balance Sheet
Restricted Cash - LT,,,,,,,83.0,108.0,104.0,77.0,Balance Sheet
Other Long Term Assets,,,,,,,938.0,1011.0,948.0,978.0,Balance Sheet
Total Assets,,,,,,,61246.0,63696.0,65296.0,66283.0,Balance Sheet
Accounts Payable,,,,,,,1896.0,1924.0,2019.0,2142.0,Balance Sheet
Payable/Accrued,,,,,,,263.0,296.0,434.0,421.0,Balance Sheet
Accrued Expenses,,,,,,,758.0,763.0,933.0,937.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,118.0,123.0,107.0,103.0,Balance Sheet
Income Taxes Payable,,,,,,,448.0,367.0,382.0,420.0,Balance Sheet
Other Payables,,,,,,,2105.0,2300.0,2020.0,2170.0,Balance Sheet
Other Current Liabilities,,,,,,,924.0,1145.0,1114.0,1346.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,3477.0,3812.0,3516.0,3936.0,Balance Sheet
Total Current Liabilities,,,,,,,6512.0,6918.0,7009.0,7539.0,Balance Sheet
Long Term Debt,,,,,,,6096.0,6081.0,6034.0,6020.0,Balance Sheet
Capital Lease Obligations,,,,,,,808.0,872.0,822.0,783.0,Balance Sheet
Total Long Term Debt,,,,,,,6904.0,6953.0,6856.0,6803.0,Balance Sheet
Total Debt,,,,,,,7022.0,7076.0,6963.0,6906.0,Balance Sheet
"Other Liabilities, Total",,,,,,,1922.0,1980.0,2150.0,2034.0,Balance Sheet
Total Liabilities,,,,,,,15338.0,15851.0,16015.0,16376.0,Balance Sheet
Common Stock,,,,,,,122.0,122.0,122.0,123.0,Balance Sheet
Additional Paid-In Capital,,,,,,,9564.0,9816.0,9950.0,10197.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,41267.0,43407.0,45916.0,47274.0,Balance Sheet
Treasury Stock - Common,,,,,,,-4954.0,-5362.0,-6343.0,-7127.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-6.0,-19.0,-37.0,-47.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,1.0,2.0,2.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,22.0,21.0,23.0,25.0,Balance Sheet
Other Comprehensive Income,,,,,,,-108.0,-142.0,-352.0,-538.0,Balance Sheet
"Other Equity, Total",,,,,,,-85.0,-119.0,-327.0,-513.0,Balance Sheet
Total Equity,,,,,,,45908.0,47845.0,49281.0,49907.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,61246.0,63696.0,65296.0,66283.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,1120.0,1118.0,1105.0,1094.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,100.0,105.0,118.0,132.0,Balance Sheet
Date,,,,,,,2021-12-02 00:00:00,2022-03-03 00:00:00,2022-06-02 00:00:00,2022-09-01 00:00:00,Income Statement
Total Revenue,,,,,,,7687.0,7786.0,8642.0,6643.0,Income Statement
"Cost of Revenue, Total",,,,,,,4122.0,4110.0,4607.0,4021.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,224.0,233.0,231.0,245.0,Income Statement
Labor & Related Expense,,,,,,,35.0,30.0,33.0,35.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,259.0,263.0,264.0,280.0,Income Statement
Research & Development,,,,,,,712.0,792.0,773.0,839.0,Income Statement
Restructuring Charge,,,,,,,38.0,5.0,0.0,5.0,Income Statement
Impair-Assets Held for Sale,,,,,,,,,,0.0,Income Statement
Other Unusual Expnse (In),,,,,,,83.0,,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,121.0,5.0,0.0,5.0,Income Statement
"Other Operat Expse, Total",,,,,,,-75.0,70.0,-6.0,-23.0,Income Statement
Total Operating Expense,,,,,,,5139.0,5240.0,5638.0,5122.0,Income Statement
Total Operating Income,,,,,,,2548.0,2546.0,3004.0,1521.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-45.0,-55.0,-44.0,-45.0,Income Statement
"Inter Income, Non-Operating",,,,,,,10.0,12.0,20.0,54.0,Income Statement
"Invest Income, Non-Operat",,,,,,,10.0,,12.0,1.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,20.0,12.0,32.0,55.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,-2.0,6.0,-4.0,22.0,Income Statement
"Other, Net",,,,,,,-2.0,6.0,-4.0,22.0,Income Statement
Income Before Tax,,,,,,,2521.0,2509.0,2988.0,1553.0,Income Statement
Income Tax - Total,,,,,,,219.0,255.0,358.0,56.0,Income Statement
Income After Tax,,,,,,,2302.0,2254.0,2630.0,1497.0,Income Statement
Minority Interest,,,,,,,,,,0.0,Income Statement
Equity In Affiliates,,,,,,,4.0,9.0,-4.0,-5.0,Income Statement
Net Inc Before Extra Items,,,,,,,2306.0,2263.0,2626.0,1492.0,Income Statement
Total Net Income,,,,,,,2306.0,2263.0,2626.0,1492.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,2306.0,2263.0,2626.0,1492.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,2306.0,2263.0,2626.0,1492.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,1119.0,1119.0,1112.0,1097.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,2.06,2.02,2.36,1.36,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,2.06,2.02,2.36,1.36,Income Statement
Diluted Weighted Average Shares,,,,,,,1130.0,1130.0,1121.0,1107.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,2.04,2.0,2.34,1.35,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,2.04,2.0,2.34,1.35,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.1,0.1,0.1,0.12,Income Statement
Gross Divid - Common Stock,,,,,,,112.0,112.0,112.0,16.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,45.0,55.0,44.0,45.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,1671.0,1742.0,1821.0,1882.0,Income Statement
Total Special Items,,,,,,,121.0,5.0,0.0,5.0,Income Statement
Normalzd Income Before Tax,,,,,,,2642.0,2514.0,2988.0,1558.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,11.0,1.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,230.0,256.0,358.0,56.0,Income Statement
Normalized Income After Tax,,,,,,,2412.0,2258.0,2630.0,1502.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,2416.0,2267.0,2626.0,1497.0,Income Statement
Basic Normalized EPS,,,,,,,2.16,2.03,2.36,1.36,Income Statement
Diluted Normalized EPS,,,,,,,2.14,2.01,2.34,1.35,Income Statement
Date,,,,,,,2021-12-02 00:00:00,2022-03-03 00:00:00,2022-06-02 00:00:00,2022-09-01 00:00:00,Cash Flow
Net Income,,,,,,,2306.0,4569.0,7195.0,8687.0,Cash Flow
Depreciation/Depletion,,,,,,,1671.0,3413.0,5234.0,7116.0,Cash Flow
Deferred Taxes,,,,,,,54.0,,,,Cash Flow
Unusual Items,,,,,,,83.0,83.0,126.0,127.0,Cash Flow
Other Non-Cash Items,,,,,,,118.0,247.0,378.0,514.0,Cash Flow
Non-Cash Items,,,,,,,201.0,330.0,504.0,641.0,Cash Flow
Accounts Receivable,,,,,,,67.0,-44.0,-906.0,190.0,Cash Flow
Inventories,,,,,,,-344.0,-900.0,-1146.0,-2179.0,Cash Flow
Payable/Accrued,,,,,,,-42.0,107.0,382.0,744.0,Cash Flow
Changes in Working Capital,,,,,,,-294.0,-746.0,-1529.0,-1263.0,Cash Flow
Total Cash from Operations,,,,,,,3938.0,7566.0,11404.0,15181.0,Cash Flow
Capital Expenditures,,,,,,,-3265.0,-5876.0,-8454.0,-12067.0,Cash Flow
Sale of Fixed Assets,,,,,,,893.0,893.0,888.0,888.0,Cash Flow
Sale/Maturity of Investment,,,,,,,437.0,803.0,1222.0,1615.0,Cash Flow
Purchase of Investments,,,,,,,-528.0,-922.0,-1359.0,-1770.0,Cash Flow
Other Investing Cash Flow,,,,,,,-22.0,-74.0,-58.0,-251.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,780.0,700.0,693.0,482.0,Cash Flow
Total Cash from Investing,,,,,,,-2485.0,-5176.0,-7761.0,-11585.0,Cash Flow
Financing Cash Flow Items,,,,,,,-91.0,5.0,-33.0,70.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-112.0,-224.0,-335.0,-461.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-361.0,-779.0,-1764.0,-2557.0,Cash Flow
Long Term Debt Issued,,,,,,,2000.0,2000.0,2000.0,2000.0,Cash Flow
Long Term Debt Reduction,,,,,,,-1949.0,-1981.0,-2008.0,-2032.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,51.0,19.0,-8.0,-32.0,Cash Flow
Total Cash From Financing,,,,,,,-513.0,-979.0,-2140.0,-2980.0,Cash Flow
Foreign Exchange Effects,,,,,,,-6.0,-16.0,-71.0,-106.0,Cash Flow
Net Change in Cash,,,,,,,934.0,1395.0,1432.0,510.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,7829.0,7829.0,7829.0,7829.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,8763.0,9224.0,9261.0,8339.0,Cash Flow
"Depreciation, Supplemental",,,,,,,1671.0,3413.0,5234.0,7116.0,Cash Flow
Free Cash Flow,,,,,,,673.0,1690.0,2950.0,3114.0,
FCF Growth,,,,,,,,1.5111441307578009,0.7455621301775148,0.05559322033898306,
