,MWA
% Above Low,0.17739999999999997
% Held by Institutions,0.9505
52-Wk Range,['9.90 - 14.62']
Annual Dividend $,0.244
Annual Dividend %,0.0209
Ask,12.0
Ask Size,100.0
B/A Ratio,30.0
B/A Size,3000x100
Beta,1.3
Bid,11.5
Bid Size,3000.0
Closing Price,11.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-21 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.302
Last (size),74.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.01
Prev Close,11.65
Shares Outstanding,155.9M
Short Interest,0.0184
Today's Open,
Volume,321260.0
Volume 10-day Avg,1123101.0
Volume Past Day,(Light)
