,MXL
% Above Low,0.2217
% Held by Institutions,0.9148999999999999
52-Wk Range,['29.27 - 77.89']
Annual Dividend $,
Annual Dividend %,
Ask,35.55
Ask Size,200.0
Ask close,35.81
B/A Ratio,1.0
B/A Size,200x200
Beta,1.9
Bid,34.3
Bid Size,200.0
Bid close,35.63
Change Since Close,0.44| |(1.23%)
Closing Price,35.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.51
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,36.2
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.61
Prev Close,35.76
Shares Outstanding,78.6M
Short Interest,0.0859
Today's Open,
Volume,6.0
Volume 10-day Avg,478611.0
Volume Past Day,(Light)
