,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.72,41.44,38.92,37.15,46.52,50.0,,,,,
low,31.71,29.26,30.42,20.25,32.14,36.04,,,,,
change,-0.028999999999999998,-0.0472,0.157,-0.0925,0.3323,0.0947,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,845.0,786.0,448.0,255.0,Balance Sheet
Fed. Fund/Resale,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Short Trm Invest.,,,,,,,51.0,55.0,60.0,64.0,Balance Sheet
Securities Held,,,,,,,296.0,270.0,279.0,315.0,Balance Sheet
Securities for Sale,,,,,,,1005.0,1088.0,1109.0,1022.0,Balance Sheet
Total Invest. Securities,,,,,,,1301.0,1357.0,1389.0,1337.0,Balance Sheet
Loans Held for Sale,,,,,,,139.0,90.0,49.0,33.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,1491.0,1503.0,1498.0,1435.0,Balance Sheet
Total Gross Loans,,,,,,,4513.0,4674.0,4817.0,5722.0,Balance Sheet
Loan Loss Allowances,,,,,,,-50.0,-49.0,-51.0,-66.0,Balance Sheet
Net Loans,,,,,,,4464.0,4625.0,4766.0,5656.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,97.0,95.0,104.0,106.0,Balance Sheet
"Goodwill, Net",,,,,,,115.0,115.0,115.0,168.0,Balance Sheet
Intangibles - Gross,,,,,,,57.0,56.0,58.0,72.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-45.0,-43.0,-44.0,-44.0,Balance Sheet
Intangibles - Net,,,,,,,12.0,14.0,15.0,31.0,Balance Sheet
Other Real Estate Owned,,,,,,,7.0,5.0,5.0,4.0,Balance Sheet
Other Assets,,,,,,,183.0,199.0,218.0,268.0,Balance Sheet
"Other Assets, Total",,,,,,,190.0,204.0,223.0,272.0,Balance Sheet
Total Assets,,,,,,,7214.0,7342.0,7168.0,7923.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,2506.0,2555.0,2455.0,2736.0,Balance Sheet
Interest Bearing Deposits,,,,,,,3722.0,3810.0,3740.0,4068.0,Balance Sheet
Total Deposits,,,,,,,6228.0,6365.0,6194.0,6804.0,Balance Sheet
Total ST Borrowings,,,,,,,23.0,25.0,24.0,20.0,Balance Sheet
Total Long Term Debt,,,,,,,39.0,40.0,40.0,40.0,Balance Sheet
Total Debt,,,,,,,62.0,64.0,64.0,60.0,Balance Sheet
"Other Liabilities, Total",,,,,,,83.0,92.0,94.0,140.0,Balance Sheet
Total Liabilities,,,,,,,6374.0,6521.0,6352.0,7003.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1014.0,1014.0,1014.0,1080.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,290.0,301.0,315.0,323.0,Balance Sheet
Treasury Stock - Common,,,,,,,-458.0,-457.0,-456.0,-395.0,Balance Sheet
"Other Equity, Total",,,,,,,-7.0,-39.0,-58.0,-89.0,Balance Sheet
Total Equity,,,,,,,840.0,820.0,816.0,919.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,7214.0,7342.0,7168.0,7923.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,30.0,30.0,30.0,33.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,21.0,21.0,21.0,18.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,,,47474.0,44095.0,51737.0,63875.0,Income Statement
Inter & Divs/ Invest Securs,,,,,,,4763.0,5071.0,6084.0,6672.0,Income Statement
Interest on Deposits,,,,,,,264.0,359.0,1015.0,1822.0,Income Statement
"Interest Income, Bank",,,,,,,52501.0,49525.0,58836.0,72369.0,Income Statement
Interest on Deposit,,,,,,,2812.0,2531.0,2485.0,2945.0,Income Statement
Inter on Other Borrowings,,,,,,,203.0,333.0,334.0,333.0,Income Statement
Total Interest Expense,,,,,,,3015.0,2864.0,2819.0,3278.0,Income Statement
Net Interest Income,,,,,,,49486.0,46661.0,56017.0,69091.0,Income Statement
Loan Loss Provision,,,,,,,132.0,-322.0,2504.0,12678.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,,,49354.0,46983.0,53513.0,56413.0,Income Statement
Fees & Commish from Operat,,,,,,,3905.0,3710.0,3956.0,4326.0,Income Statement
Credit Card Fees,,,,,,,4476.0,4123.0,4541.0,4681.0,Income Statement
Real Estate Operation Gain,,,,,,,10387.0,9666.0,6948.0,4475.0,Income Statement
Other Revenue,,,,,,,4447.0,1555.0,1317.0,3876.0,Income Statement
"Non-Interest Income, Bank",,,,,,,23215.0,19054.0,16762.0,17358.0,Income Statement
Labor & Related Expenses,,,,,,,-29986.0,-29336.0,-28776.0,-30540.0,Income Statement
Amortization of Intangibles,,,,,,,-296.0,-296.0,-296.0,-383.0,Income Statement
Real Estate Operat Expnse,,,,,,,667.0,275.0,-5.0,378.0,Income Statement
Other Unusual Expense,,,,,,,0.0,0.0,-1000.0,-4900.0,Income Statement
Other Expense,,,,,,,-14890.0,-14725.0,-15475.0,-18493.0,Income Statement
"Non-Interest Expense, Bank",,,,,,,-44505.0,-44082.0,-45552.0,-53938.0,Income Statement
Income Before Tax,,,,,,,28064.0,21955.0,24723.0,19833.0,Income Statement
Income Tax - Total,,,,,,,5295.0,3603.0,4361.0,3994.0,Income Statement
Income After Tax,,,,,,,22769.0,18352.0,20362.0,15839.0,Income Statement
Net Inc Before Extra Items,,,,,,,22769.0,18352.0,20362.0,15839.0,Income Statement
Total Net Income,,,,,,,22769.0,18352.0,20362.0,15839.0,Income Statement
Total Adjust to Net Income,,,,,,,-32.0,-33.0,-37.0,-39.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,22737.0,18319.0,20325.0,15800.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,22737.0,18319.0,20325.0,15800.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,30334.0,30120.0,30226.0,31259.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.75,0.61,0.67,0.51,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.75,0.61,0.67,0.51,Income Statement
Diluted Weighted Average Shares,,,,,,,30786.0,30479.0,30493.0,31531.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.74,0.6,0.67,0.5,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.74,0.6,0.67,0.5,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.22,0.23,0.23,0.23,Income Statement
Gross Divid - Common Stock,,,,,,,6793.0,6541.0,7433.0,7007.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,1749.0,3122.0,3165.0,3425.0,Income Statement
Total Special Items,,,,,,,1539.0,0.0,1000.0,4900.0,Income Statement
Normalzd Income Before Tax,,,,,,,29603.0,21955.0,25723.0,24733.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,290.0,0.0,176.0,987.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,5585.0,3603.0,4537.0,4981.0,Income Statement
Normalized Income After Tax,,,,,,,24018.0,18352.0,21186.0,19752.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,23986.0,18319.0,21149.0,19713.0,Income Statement
Basic Normalized EPS,,,,,,,0.79,0.61,0.7,0.63,Income Statement
Diluted Normalized EPS,,,,,,,0.78,0.6,0.69,0.63,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,94.0,18.0,39.0,55.0,Cash Flow
Depreciation/Depletion,,,,,,,14.0,3.0,7.0,11.0,Cash Flow
Deferred Taxes,,,,,,,0.0,-8.0,-13.0,-21.0,Cash Flow
