,NCR
% Above Low,0.299
% Held by Institutions,0.9351
52-Wk Range,['18.06 - 45.92']
Annual Dividend $,
Annual Dividend %,
Ask,23.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,21.0
Bid Size,100.0
Closing Price,23.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.83
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.42
Prev Close,23.46
Short Interest,0.059500000000000004
Today's Open,
Volume,411134.0
Volume 10-day Avg,1129253.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.008230452674897082
Growth 1yr High Est,0.02281368821292773
Growth 1yr Consensus Est,0.015522070443912406
Growth 2yr Low Est,0.030645838582346485
Growth 2yr High Est,0.119213535556278
Growth 2yr Consensus Est,0.07492968706931225
Growth 5yr Low Est,0.03091355619917549
Growth 5yr High Est,0.06303698511251973
Growth 5yr Consensus Est,0.04697527065584761
Growth 5yr Actual/Est,0.07445482670923448
Growth 3yr Historic,0.029054096738192037
Price/Earnings (TTM),28.42086
Price/Sales (TTM),0.40963
Price/Book (MRQ),2.22424
Price/Cash Flow (TTM),4.45837
5yr Low,10.55
5yr High,50.0
5yr Avg Return,0.0029000000000000033
EPS Growth 5yr,-0.17081559999999998
Revenue Growth 5yr,0.0180724
Dividend Growth 5yr,
Short Int Current Month,7798050.0
Short Int Prev Month,8829372.0
Short Int Pct of Float,0.0595109
Days to Cover,5.17357
Float,132.3601
Shares Outstanding,137.4
Institutions Holding Shares,470.0
FCF Growth 5yr,-0.3495429316895475
"Price/Earnings (TTM, GAAP)",28.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2384
Operating Profit Margin (TTM),0.0567
Net Profit Margin (TTM),0.0172
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1042
EPS Growth (TTM),1.9069
Revenue Growth (MRQ),-0.0125
Revenue Growth (TTM),0.1653
Return On Equity (TTM),0.0906
Return On Assets (TTM),0.0116
Return On Investment (TTM),0.0151
Revenue Per Employee (TTM),207079.0
Total Debt/Total Capital (MRQ),0.7686000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),2.54
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-27 00:00:00
cfra since,2019-05-09 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
