,NDSN
Price/Earnings (TTM),28.61555
Price/Sales (TTM),5.38971
Price/Book (MRQ),6.14189
Price/Cash Flow (TTM),23.15871
5yr Low,96.46
5yr High,272.28
5yr Avg Return,0.12813333333333332
EPS Growth 5yr,0.1036182
Revenue Growth 5yr,0.0548149
Dividend Growth 5yr,0.1115649
Short Int Current Month,895077.0
Short Int Prev Month,963433.0
Short Int Pct of Float,0.0175489
Days to Cover,3.51545
Float,51.0546
Shares Outstanding,57.2107
Institutions Holding Shares,751.0
% Held by Institutions,0.719118
FCF Growth 5yr,0.19510825794243447
