,NFBK
Price/Earnings (TTM),11.73971
Price/Sales (TTM),4.5367
Price/Book (MRQ),1.09135
Price/Cash Flow (TTM),11.26732
5yr Low,8.72
5yr High,18.41
5yr Avg Return,0.0009166666666666642
EPS Growth 5yr,0.2045206
Revenue Growth 5yr,0.06633460000000001
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,605066.0
Short Int Prev Month,694389.0
Short Int Pct of Float,0.0143316
Days to Cover,5.23024
Float,42.21887
Shares Outstanding,47.77058
Institutions Holding Shares,189.0
% Held by Institutions,0.580235
FCF Growth 5yr,0.25600890926891023
